total,grow,noise,real
375.1440734863281,375.5045471191406,-0.9980864524841309,372.8559875488281
375.644287109375,376.0047607421875,-0.9980864524841309,373.9163513183594
376.1445007324219,376.5049743652344,-0.9980864524841309,374.76995849609375
376.64471435546875,377.00518798828125,-0.9980864524841309,374.3338623046875
377.1449279785156,377.5054016113281,-0.9980864524841309,374.0130615234375
377.6451416015625,378.005615234375,-0.9980864524841309,373.7602844238281
378.1453552246094,378.5058288574219,-0.9980864524841309,374.0060119628906
378.64556884765625,379.00604248046875,-0.9980864524841309,375.2049560546875
379.145751953125,379.5062255859375,-0.9980864524841309,375.9821472167969
379.64593505859375,380.00640869140625,-0.9980865716934204,376.37689208984375
380.1461486816406,380.5066223144531,-0.9980865716934204,376.48016357421875
380.6463623046875,381.0068359375,-0.9980865716934204,376.7879943847656
381.14654541015625,381.50701904296875,-0.9980865716934204,377.7239074707031
381.646728515625,382.0072021484375,-0.99808669090271,377.80511474609375
382.14691162109375,382.50738525390625,-0.9980868101119995,378.42205810546875
382.6470947265625,383.007568359375,-0.9980869293212891,379.7331237792969
383.147216796875,383.5076904296875,-0.9980883598327637,380.2044372558594
383.6474609375,384.0079345703125,-0.9980889558792114,379.96051025390625
384.1476745605469,384.5081481933594,-0.9980889558792114,379.3992004394531
384.64788818359375,385.00836181640625,-0.998089075088501,380.0334777832031
385.1481018066406,385.5085754394531,-0.9980893135070801,381.2666015625
385.6483154296875,386.0087890625,-0.9980893135070801,381.81781005859375
386.1485290527344,386.5090026855469,-0.9980894327163696,382.12127685546875
386.6487121582031,387.0091857910156,-0.9980895519256592,381.4078674316406
387.14886474609375,387.50933837890625,-0.9980905055999756,381.3385925292969
387.6491394042969,388.0096130371094,-0.9980906248092651,381.59820556640625
388.1494140625,388.5098876953125,-0.9980906248092651,382.0018005371094
388.6496887207031,389.0101623535156,-0.9980906248092651,382.87554931640625
389.14996337890625,389.51043701171875,-0.9980906248092651,384.3420715332031
389.6502380371094,390.0107116699219,-0.9980906248092651,385.0817565917969
390.1505126953125,390.510986328125,-0.9980906248092651,385.0152893066406
390.6507873535156,391.0112609863281,-0.9980906248092651,385.93963623046875
391.15106201171875,391.51153564453125,-0.9980906248092651,386.37371826171875
391.6513366699219,392.0118103027344,-0.9980906248092651,386.0066223144531
392.151611328125,392.5120849609375,-0.9980906248092651,386.9372253417969
392.6518859863281,393.0123596191406,-0.9980908632278442,387.422607421875
393.1521301269531,393.5126037597656,-0.9980944395065308,388.0408020019531
393.6524963378906,394.0129699707031,-0.9980945587158203,388.8929748535156
394.15283203125,394.5133056640625,-0.9980945587158203,389.2734375
394.6531677246094,395.0136413574219,-0.9980945587158203,390.2779846191406
395.1534729003906,395.5139465332031,-0.9980951547622681,390.1403503417969
395.65380859375,396.0142822265625,-0.99809730052948,389.6056213378906
396.1542663574219,396.5147399902344,-0.99809730052948,391.484375
396.65472412109375,397.01519775390625,-0.9980974197387695,392.64727783203125
397.1551818847656,397.5156555175781,-0.9980974197387695,393.1180114746094
397.6556091308594,398.0160827636719,-0.9980974197387695,393.8818664550781
398.1560363769531,398.5165100097656,-0.9980974197387695,394.2405700683594
398.6564636230469,399.0169372558594,-0.9980974197387695,394.9136047363281
399.1568908691406,399.5173645019531,-0.9980974197387695,395.54547119140625
399.6573791503906,400.0178527832031,-0.9980992078781128,396.7828674316406
400.15789794921875,400.51837158203125,-0.9981006383895874,396.6483459472656
400.65838623046875,401.01885986328125,-0.9981006383895874,396.630859375
401.15887451171875,401.51934814453125,-0.9981006383895874,397.597900390625
401.65936279296875,402.01983642578125,-0.9981006383895874,398.2752685546875
402.15985107421875,402.52032470703125,-0.9981006383895874,399.53106689453125
402.66046142578125,403.02093505859375,-0.998100757598877,400.3575134277344
403.1610412597656,403.5215148925781,-0.9981014728546143,400.8720397949219
403.66162109375,404.0220947265625,-0.9981014728546143,401.6545715332031
404.1622009277344,404.5226745605469,-0.9981014728546143,401.71795654296875
404.6627502441406,405.0232238769531,-0.9981015920639038,403.1125793457031
405.1632995605469,405.5237731933594,-0.9981015920639038,403.8171081542969
405.6638488769531,406.0243225097656,-0.9981017112731934,404.9312744140625
406.1643981933594,406.5248718261719,-0.9981017112731934,405.857666015625
406.6649475097656,407.0254211425781,-0.9981017112731934,405.6015930175781
407.1654968261719,407.5259704589844,-0.9981017112731934,405.4104309082031
407.6660461425781,408.0265197753906,-0.9981017112731934,404.6957092285156
408.1665954589844,408.5270690917969,-0.9981017112731934,404.511962890625
408.6671447753906,409.0276184082031,-0.9981017112731934,404.7572937011719
409.1676940917969,409.5281677246094,-0.9981017112731934,405.21063232421875
409.6682434082031,410.0287170410156,-0.9981017112731934,406.2183837890625
410.1687927246094,410.5292663574219,-0.998103678226471,406.6211242675781
410.6694641113281,411.0299377441406,-0.998103678226471,407.1843566894531
411.17010498046875,411.53057861328125,-0.998103678226471,408.0240478515625
